ROW,COL,CELL_ID,CountyName,CountyNum,GCD_Name,GCD_Num,GCD_Name_1,GCD_Num_1,GCD_Name_2,GCD_Num_2,BasinName,BasinNum,IBND1,CentroidX,CentroidY,uGCD,GMA,PGMA,RA_SLD,REG_NAME,LETTER,REG_NUM,AQ_Active1
43,15,1043015,"Hays",105,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5562846.06056,19261812.0861," ",10," ","GUADALUPE-BLANCO RIVER AUTHORITY","LOWER COLORADO","K",11,1
43,16,1043016,"Hays",105,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5563553.16734,19262519.1929," ",10," ","GUADALUPE-BLANCO RIVER AUTHORITY","LOWER COLORADO","K",11,1
43,17,1043017,"Hays",105,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5564260.27412,19263226.2997," ",10," ","GUADALUPE-BLANCO RIVER AUTHORITY","LOWER COLORADO","K",11,1
43,18,1043018,"Hays",105,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5564967.3809,19263933.4064," ",10," ","GUADALUPE-BLANCO RIVER AUTHORITY","LOWER COLORADO","K",11,1
43,19,1043019,"Hays",105,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5565674.48768,19264640.5132," ",10," ","GUADALUPE-BLANCO RIVER AUTHORITY","LOWER COLORADO","K",11,1
43,20,1043020,"Hays",105,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5566381.59446,19265347.62," ",10," ","GUADALUPE-BLANCO RIVER AUTHORITY","LOWER COLORADO","K",11,1
43,21,1043021,"Hays",105,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5567088.70124,19266054.7268," ",10," ","GUADALUPE-BLANCO RIVER AUTHORITY","LOWER COLORADO","K",11,1
43,22,1043022,"Hays",105,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5567795.80802,19266761.8336," ",10," ","GUADALUPE-BLANCO RIVER AUTHORITY","LOWER COLORADO","K",11,1
43,23,1043023,"Hays",105,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5568502.91481,19267468.9403," ",10," ","GUADALUPE-BLANCO RIVER AUTHORITY","LOWER COLORADO","K",11,1
43,24,1043024,"Hays",105,"Barton Spring Edwards CD",17," ",0," ",0,"COLORADO",14,1,5569210.02159,19268176.0471," ",10," ","GUADALUPE-BLANCO RIVER AUTHORITY","LOWER COLORADO","K",11,1
